IP,Freq
93.72.5.44,20
77.221.130.34,2
141.0.12.242,1
188.123.231.205,1
185.26.180.145,21
66.249.81.205,8
66.249.81.211,8
66.249.81.208,5
93.84.16.70,13
46.53.218.162,5
194.6.231.248,22
82.145.223.50,1
83.219.231.151,2
